LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,STATE_CODE_EXP,LAYER_NO,FIELD_SET,TEST_NO,TEST_NO_EXP,LOC_NO,SAMPLE_NO,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,TEST_DATE,CONSTRUCTION_NO
1,4021,4021,5,Arkansas,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,24,16,8,08/20/1991,1
3,4021,4021,5,Arkansas,3,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,,,NP,08/20/1991,1
1,5803,5803,5,Arkansas,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,35,22,13,08/19/1991,1
2,5803,5803,5,Arkansas,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,30,20,10,08/19/1991,1
2,A430,4021,5,Arkansas,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,20,14,6,08/20/1991,1
2,B410,4019,5,Arkansas,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,,,NP,08/19/1991,1
1,0201,0204,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B12,BS12,,,NP,05/05/2000,1
2,0201,0211,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,B13,BG13,,,NP,10/02/2002,1
1,0202,0204,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B12,BS12,,,NP,05/05/2000,1
1,0204,0210,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B10,BS10,,,NP,05/05/2000,1
2,0204,0210,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B14,BG14,,,NP,10/02/2002,1
2,0209,0210,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B14,BG14,,,NP,10/02/2002,1
2,0209,0211,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,B13,BG13,,,NP,10/02/2002,1
1,0211,0202,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B11,BS11,,,NP,05/05/2000,1
1,0211,0211,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B7,BS07,,,NP,10/02/2002,1
2,0211,0210,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B14,BG14,,,NP,10/02/2002,1
1,0212,0211,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B7,BS07,,,NP,10/02/2002,1
1,0501,0502,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS93,,,NP,04/03/2000,1
1,0501,0509,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BS02,23,20,3,04/03/2000,1
1,0501,0566,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,TP4,BS92,,,NP,01/26/1998,1
2,0501,0561,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP3,BG91,,,NP,01/26/1998,1
1,0502,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BS02,,,NP,01/26/1998,1
2,0502,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA9,BG01,,,NP,01/26/1998,1
1,0503,0507,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BS93,23,19,4,04/03/2000,1
1,0503,0509,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BS01,24,18,6,04/03/2000,1
1,0503,0566,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BS92,,,NP,01/26/1998,1
2,0503,0509,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG02,,,NP,04/03/2000,1
2,0503,0560,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BG02,,,NP,01/26/1998,1
2,0503,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA9,BG01,,,NP,01/26/1998,1
2,0503,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA10,BG02,,,NP,01/26/1998,1
1,0504,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS02,,,NP,04/03/2000,1
1,0504,0507,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BS93,23,19,4,04/03/2000,1
2,0504,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BG01,,,NP,04/03/2000,1
2,0505,0507,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG92,,,NP,04/03/2000,1
2,0505,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
1,0506,0566,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,TP4,BS92,,,NP,01/26/1998,1
2,0506,0502,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG92,,,NP,04/03/2000,1
2,0506,0507,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG92,,,NP,04/03/2000,1
2,0506,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA9,BG01,,,NP,01/26/1998,1
1,0507,0502,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS93,,,NP,04/03/2000,1
1,0507,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BS01,,,NP,04/03/2000,1
1,0507,0566,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,TP4,BS92,,,NP,01/26/1998,1
2,0507,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BG01,,,NP,04/03/2000,1
1,0508,0501,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA2,BS02,,,NP,04/03/2000,1
1,0508,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS02,,,NP,04/03/2000,1
1,0508,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BS01,,,NP,04/03/2000,1
2,0508,0502,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG92,,,NP,04/03/2000,1
2,0508,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BG01,,,NP,04/03/2000,1
2,0508,0509,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG02,,,NP,04/03/2000,1
2,0508,0560,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BG02,,,NP,01/26/1998,1
2,0508,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
2,0508,0568,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA11,BG01,,,NP,01/26/1998,1
1,0509,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS02,,,NP,04/03/2000,1
1,0509,0508,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA080*,BS080*,,,NP,06/10/2004,3
1,0509,0509,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BS01,24,18,6,04/03/2000,1
2,0509,0501,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA2,BG02,,,NP,04/03/2000,1
2,0509,0502,6,California,2,3,1,Material sample obtained from area adjacent to approach end of test section.,BA020*,BG020*,,,NP,06/10/2004,4
2,0509,0504,6,California,2,3,2,Material sample obtained from area adjacent to leave end of test section.,BA040*,BG040*,,,NP,06/10/2004,3
2,0509,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA10,BG02,,,NP,01/26/1998,1
2,0509,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
2,0560,0502,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG92,,,NP,04/03/2000,1
2,0560,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BG01,,,NP,04/03/2000,1
2,0560,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
2,0561,0501,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA2,BG02,,,NP,04/03/2000,1
1,0566,0501,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA2,BS02,,,NP,04/03/2000,1
1,0566,0509,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BS01,24,18,6,04/03/2000,1
1,0566,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA7,BS01,,,NP,01/26/1998,1
2,0566,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BG01,,,NP,04/03/2000,1
2,0566,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
1,0567,0502,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS93,,,NP,04/03/2000,1
2,0568,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG02,,,NP,04/03/2000,1
2,0568,0509,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG02,,,NP,04/03/2000,1
2,0568,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA9,BG01,,,NP,01/26/1998,1
1,0569,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS02,,,NP,04/03/2000,1
2,0569,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BG01,,,NP,04/03/2000,1
2,0569,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
1,0570,0501,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BS01,,,NP,04/03/2000,1
2,0570,0501,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BG01,,,NP,04/03/2000,1
2,0570,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG02,,,NP,04/03/2000,1
2,0570,0560,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA7,BG01,,,NP,01/26/1998,1
2,0570,0561,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP3,BG91,,,NP,01/26/1998,1
1,0571,0507,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BS93,23,19,4,04/03/2000,1
1,0571,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BS02,,,NP,01/26/1998,1
2,0571,0509,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG02,,,NP,04/03/2000,1
2,0571,0509,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BG01,,,NP,04/03/2000,1
2,0571,0560,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA7,BG01,,,NP,01/26/1998,1
2,0571,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA9,BG01,,,NP,01/26/1998,1
2,0571,0568,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA12,BG02,,,NP,01/26/1998,1
1,0603,3005,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0605,0661,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA263,BS263,19,23,NP,02/17/2006,7
1,0605,3005,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0659,3005,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0660,0606,6,California,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BAX01,BSX01,21,24,NP,08/11/2008,6
